Name,Spect Name,Spect Type,Teff,log g,Fe/H,class
BD+002058A ,s0272,sd:F,6024,4.5,-1.49,F
BD+012916 ,s0505,KIIvw,4238,0.35,-1.47,K
BD+044551 ,s0777,F7Vwe,5770,3.87,-1.62,F
BD+053080 ,s0569,K2,4832,4,-0.88,K
BD+060648 ,s0142,K0,4400,1.02,-2.1,K
BD+062986 ,s0537,K5,4450,4.8,-0.3,F
BD+090352 ,s0596,F2,5894,4.25,-2.12,F
BD+092190 ,s0348,A0,6270,4.11,-2.86,A
BD+093223 ,s0607,III,5350,2,-2.26,
BD+112998 ,s0598,F8,5373,2.3,-1.36,F
BD+130013 ,s0010,K0,5000,3,-1.31,K
BD+151305 ,s0230,,5175,4.1,-0.6,
BD+172473 ,s0439,G5,5299,3.75,-1.1,G
BD+182890 ,s0516,,4957,2.2,-1.61,
BD+195116B ,s0884,M6 V,2950,5.06,0.1,M
BD+203603 ,s0649,F0,6121,4.32,-2.09,F
BD+233130 ,s0633,G0,5039,2.42,-2.55,G
BD+241676 ,s0258,F,6201,4.38,-2.45,F
BD+251981 ,s0314,F0,6798,4.25,-1.26,G
BD+290366 ,s0077,F8V,5609,4.22,-1.03,F
BD+302431 ,s0480,A2,16904,4.2,0.77,A
BD+302611 ,s0538,G8III,4311,0.94,-1.36,G
BD+312360 ,s0440,G8III,4600,2,-0.91,G
BD+342476 ,s0491,A4,6205,4.12,-2.05,A
BD+362165 ,s0401,G0,6176,4.55,-1.36,G
BD+371458 ,s0214,G0,5200,3,-2.1,G
BD+371665 ,s0243,G5,4905,3.3,-1.38,G
BD+384955 ,s0866,F6,5163,3.99,-2.42,F
BD+394926 ,s0842,B8,7261,0.85,-2.52,B
BD+430699 ,s0115,K2,4608,4.52,-0.6,K
BD+442051A ,s0399,M2 V,3544,4.85,-1.45,M
BD+450983 ,s0159,G8:V:,5200,4.5,-0.25,G
BD+460610 ,s0094,F8,5841,4.11,-0.88,F
BD+501021 ,s0158,G8:V:,4850,4.1,-0.9,F
BD+511696 ,s0419,sdG0,5640,4.8,-1.37,G
BD+592723 ,s0876,F2,6112,4.17,-2.02,F
BD+612575 ,s0896,F8 Ib,6222,1.97,0.35,F
